samp_name	biosamples_accession	source_mat_id	sample_alt_lab_ids	tissue_type	molecular_sex	molecular_sex_reference	samp_taxon_common	samp_taxon_ID	specific_host	latitude	longitude	geo_loc_name	site_name	sample_age	sample_age_upper	sample_age_lower	sample_age_inference_methods	c14_age	c14_age_sd	c14_lab_code	sample_age_reference	sample_age_notes	nuclear_sequencing_platform	nuclear_library_strategy	nuclear_depth_of_coverage	nuclear_damage_treatment	nuclear_lib_strandedness	nuclear_reference	mt_sequencing_platform	mt_library_strategy	mt_targeted_region	mt_depth_of_coverage	mt_damage_treatment	mt_lib_strandedness	mt_accession	mt_reference	curator_comments	curated_by	curation_complete
Safi2	SAMEA4609155	8.7.2009, W, 1270007, 1270007, 174.20-174.05	KD215	petrous part of temporal bone, UBERON:0001708	female	https://doi.org/10.1126/science.aas9411	Goat	9925	Capra, Capra hircus	31.699722	34.846944	Israel	Tel es-Safi, Ashkelon	4685.0	4850.0	4520.0	stratigraphic inference	not applicable	not applicable	not applicable	not applicable		ILLUMINA	WGS	not applicable	full-udg	double	https://doi.org/10.1126/science.aas9411	ILLUMINA	Targeted-Capture 	complete	134.14	full-udg	double	LS992638.1	doi.org/10.1126/science.aas9411		Kevin Daly	yes
Semnan1-2	SAMEA4591756; SAMEA4591757	MM TSC2; MM TSC3	KD111;KD112	petrous part of temporal bone, UBERON:0001708	female	https://doi.org/10.1126/science.aas9411	Goat	9925	Capra, Capra hircus	36.504158	55.000786	Iran	Sang-e Chakhmaq, Semnan	9144.0	9409.0	8789.0	radiocarbon dating	8157	74	UBA-33144	https://doi.org/10.1126/science.aas9411		ILLUMINA	WGS	6.85	full-udg	double	https://doi.org/10.1126/science.aas9411	not applicable	WGS	not applicable	533.55	not applicable	not applicable	LS992643.1	not applicable	Different biosamples drawn from different petrous bones of opposite orientation, same sex, same mtDNA,>0.9 kinship coefficient - assumed to be same individual	Kevin Daly	yes
Semnan3	SAMEA4591758	MM TSC5	KD113	petrous part of temporal bone, UBERON:0001712	female	https://doi.org/10.1126/science.aas9411	Goat	9925	Capra, Capra hircus	36.504158	55.000786	Iran	Sang-e Chakhmaq, Semnan	8055.5	8171.0	7940.0	radiocarbon dating	7214	53	UBA-33145	https://doi.org/10.1126/science.aas9411		ILLUMINA	WGS	14.89	full-udg	double	https://doi.org/10.1126/science.aas9411	not applicable	WGS	not applicable	887.12	not applicable	not applicable	LS992642.1	not applicable		Kevin Daly	yes
Semnan7	SAMEA4589054	MM TSC9	KD152	petrous part of temporal bone, UBERON:0001713	male	https://doi.org/10.1126/science.aas9411	Goat	9925	Capra, Capra hircus	36.504158	55.000786	Iran	Sang-e Chakhmaq, Semnan	7950.0	8200.0	7700.0	stratigraphic inference	not applicable	not applicable	not applicable	not applicable		ILLUMINA	WGS	3.28	full-udg	double	https://doi.org/10.1126/science.aas9411	not applicable	WGS	not applicable	204.62	not applicable	not applicable	LS992651.1	not applicable		Kevin Daly	yes
Semnan8	SAMEA4591759	MM TSC8	AH004	petrous part of temporal bone, UBERON:0001714	female	https://doi.org/10.1126/science.aas9411	Goat	9925	Capra, Capra hircus	36.504158	55.000786	Iran	Sang-e Chakhmaq, Semnan	7950.0	8200.0	7700.0	stratigraphic inference	not applicable	not applicable	not applicable	not applicable		ILLUMINA	WGS	0.21	full-udg	double	https://doi.org/10.1126/science.aas9411	not applicable	WGS	not applicable	76.45	not applicable	not applicable	LS992652.1	not applicable		Kevin Daly	yes
Semnan9	SAMEA4591760	MM TSC10-1	AH005-1	petrous part of temporal bone, UBERON:0001715	male	https://doi.org/10.1126/science.aas9411	Goat	9925	Capra, Capra hircus	36.504158	55.000786	Iran	Sang-e Chakhmaq, Semnan	7950.0	8200.0	7700.0	stratigraphic inference	not applicable	not applicable	not applicable	not applicable		ILLUMINA	WGS	3.05	full-udg	double	https://doi.org/10.1126/science.aas9411	not applicable	WGS	not applicable	394.12	not applicable	not applicable	LS992645.1	not applicable		Kevin Daly	yes
Semnan10	SAMEA4591755	MM TSC10-2	AH005-2	petrous part of temporal bone, UBERON:0001709	male	https://doi.org/10.1126/science.aas9411	Goat	9925	Capra, Capra hircus	36.504158	55.000786	Iran	Sang-e Chakhmaq, Semnan	7950.0	8200.0	7700.0	stratigraphic inference	not applicable	not applicable	not applicable	not applicable		ILLUMINA	WGS	1.43	full-udg	double	https://doi.org/10.1126/science.aas9411	not applicable	WGS	not applicable	369.08	not applicable	not applicable	LS992647.1	not applicable		Kevin Daly	yes
Semnan13	SAMEA4607423	MM TSC10	AH005-3	petrous part of temporal bone, UBERON:0001710	female	https://doi.org/10.1126/science.aas9411	Goat	9925	Capra, Capra hircus	36.504158	55.000786	Iran	Sang-e Chakhmaq, Semnan	7950.0	8200.0	7700.0	stratigraphic inference	not applicable	not applicable	not applicable	not applicable		ILLUMINA	WGS	2.54	full-udg	double	https://doi.org/10.1126/science.aas9411	not applicable	WGS	not applicable	109.05	not applicable	not applicable	LS992650.1	not applicable		Kevin Daly	yes
Semnan17	SAMEA4607424	MM TSC11	AH006-4	petrous part of temporal bone, UBERON:0001711	female	https://doi.org/10.1126/science.aas9411	Goat	9925	Capra, Capra hircus	36.504158	55.000786	Iran	Sang-e Chakhmaq, Semnan	7950.0	8200.0	7700.0	stratigraphic inference	not applicable	not applicable	not applicable	not applicable		ILLUMINA	WGS	0.12	full-udg	double	https://doi.org/10.1126/science.aas9411	not applicable	WGS	not applicable	149.93	not applicable	not applicable	LS992649.1	not applicable		Kevin Daly	yes
Shiqmim1	SAMEA4609156 	1993; R13; 4241; A554	KD163	petrous part of temporal bone, UBERON:0001716	female	https://doi.org/10.1126/science.aas9411	Goat	9925	Capra, Capra hircus	31.194641	34.627068	Israel	Shiqmim, Northern Negev	5950.0	6250.0	5650.0	stratigraphic inference	not applicable	not applicable	not applicable	not applicable		ILLUMINA	WGS	0.0003	full-udg	double	https://doi.org/10.1126/science.aas9411	ILLUMINA	Targeted-Capture 	complete	7	full-udg	double	LS992653.1	doi.org/10.1126/science.aas9411		Kevin Daly	yes
